Symbol,GICS Sector
GIS,Consumer Staples S&P 500
GM,Consumer Discretionary S&P 500
GPC,Consumer Discretionary S&P 500
GILD,Health Care S&P 500
GPN,Financials S&P 500
GL,Financials S&P 500
GDDY,Information Technology S&P 500
GS,Financials S&P 500
HAL,Energy S&P 500
HIG,Financials S&P 500
HAS,Consumer Discretionary S&P 500
HCA,Health Care S&P 500
DOC,Real Estate S&P 500
HSIC,Health Care S&P 500
HSY,Consumer Staples S&P 500
HES,Energy S&P 500
HPE,Information Technology S&P 500
HLT,Consumer Discretionary S&P 500
HOLX,Health Care S&P 500
HD,Consumer Discretionary S&P 500
HON,Industrials S&P 500
HRL,Consumer Staples S&P 500
HST,Real Estate S&P 500
HWM,Industrials S&P 500
HPQ,Information Technology S&P 500
HUBB,Industrials S&P 500
HUM,Health Care S&P 500
HBAN,Financials S&P 500
HII,Industrials S&P 500
IBM,Information Technology S&P 500
IEX,Industrials S&P 500
IDXX,Health Care S&P 500
ITW,Industrials S&P 500
INCY,Health Care S&P 500
IR,Industrials S&P 500
PODD,Health Care S&P 500
INTC,Information Technology S&P 500
ICE,Financials S&P 500
IFF,Materials S&P 500
IP,Materials S&P 500
IPG,Communication Services S&P 500
INTU,Information Technology S&P 500
ISRG,Health Care S&P 500
IVZ,Financials S&P 500
INVH,Real Estate S&P 500
IQV,Health Care S&P 500
IRM,Real Estate S&P 500
JBHT,Industrials S&P 500
JBL,Information Technology S&P 500
JKHY,Financials S&P 500
J,Industrials S&P 500
JNJ,Health Care S&P 500
JCI,Industrials S&P 500
JPM,Financials S&P 500
JNPR,Information Technology S&P 500
K,Consumer Staples S&P 500
KVUE,Consumer Staples S&P 500
KDP,Consumer Staples S&P 500
KEY,Financials S&P 500
KEYS,Information Technology S&P 500
KMB,Consumer Staples S&P 500
KIM,Real Estate S&P 500
KMI,Energy S&P 500
KKR,Financials S&P 500
KLAC,Information Technology S&P 500
KHC,Consumer Staples S&P 500
KR,Consumer Staples S&P 500
LHX,Industrials S&P 500
LH,Health Care S&P 500
LRCX,Information Technology S&P 500
LW,Consumer Staples S&P 500
LVS,Consumer Discretionary S&P 500
LDOS,Industrials S&P 500
LEN,Consumer Discretionary S&P 500
LLY,Health Care S&P 500
LIN,Materials S&P 500
LYV,Communication Services S&P 500
